application_id,user_id,job_id,college_id,application_status,applied_at,updated_at,deleted_at
1,551,152,102,Applied,2025-10-17 22:50:11.499175,2026-01-29 22:50:11.511053,
2,170,648,104,Selected,2026-01-01 22:50:11.499202,2025-12-31 22:50:11.511060,
3,800,506,102,Rejected,2025-11-12 22:50:11.499213,2026-01-03 22:50:11.511065,
4,194,971,103,Applied,2025-11-05 22:50:11.499217,2025-12-31 22:50:11.511068,
5,171,996,101,Applied,2025-11-13 22:50:11.499220,2026-01-10 22:50:11.511071,
6,213,184,102,Applied,2026-01-01 22:50:11.499224,2026-01-15 22:50:11.511075,2026-01-23 22:50:11.522803
7,335,275,102,Rejected,2026-01-19 22:50:11.499227,2026-01-21 22:50:11.511077,
8,896,897,101,Selected,2025-11-03 22:50:11.499230,2026-01-09 22:50:11.511080,
9,627,158,102,Interview,2026-01-17 22:50:11.499232,2026-01-27 22:50:11.511083,2026-01-28 22:50:11.522809
10,377,841,104,Selected,2026-01-15 22:50:11.499236,2026-01-16 22:50:11.511086,
11,634,12,104,Interview,2025-12-09 22:50:11.499238,2026-01-26 22:50:11.511089,
12,425,959,104,Applied,2025-10-10 22:50:11.499241,2026-01-16 22:50:11.511092,
13,275,359,103,Selected,2025-11-23 22:50:11.499244,2026-01-18 22:50:11.511095,
14,344,663,103,Shortlisted,2025-10-04 22:50:11.499247,2026-01-02 22:50:11.511098,
15,11,465,101,Interview,2025-12-17 22:50:11.499250,2026-01-29 22:50:11.511101,
16,733,448,103,Rejected,2025-12-07 22:50:11.499253,2026-01-07 22:50:11.511104,
17,799,401,103,Interview,2025-10-28 22:50:11.499255,2026-01-08 22:50:11.511107,
18,187,610,101,Applied,2026-01-23 22:50:11.499258,2026-01-01 22:50:11.511110,
19,849,785,101,Applied,2025-10-08 22:50:11.499261,2026-01-19 22:50:11.511113,
20,783,552,103,Shortlisted,2025-11-26 22:50:11.499264,2026-01-05 22:50:11.511115,
21,880,224,104,Shortlisted,2025-11-26 22:50:11.499267,2026-01-28 22:50:11.511118,
22,935,794,103,Rejected,2025-10-08 22:50:11.499270,2026-01-16 22:50:11.511121,
23,761,635,101,Applied,2025-10-07 22:50:11.499272,2026-01-29 22:50:11.511124,
24,726,405,101,Selected,2025-11-22 22:50:11.499275,2026-01-12 22:50:11.511127,
25,536,765,103,Applied,2025-10-07 22:50:11.499278,2026-01-26 22:50:11.511130,
26,277,905,102,Selected,2025-11-17 22:50:11.499281,2026-01-22 22:50:11.511133,2026-01-28 22:50:11.522817
27,557,70,101,Applied,2025-11-30 22:50:11.499284,2025-12-31 22:50:11.511136,
28,41,614,101,Rejected,2025-10-12 22:50:11.499287,2026-01-19 22:50:11.511139,
29,367,612,103,Applied,2026-01-28 22:50:11.499290,2026-01-09 22:50:11.511141,
30,244,307,101,Shortlisted,2025-10-06 22:50:11.499292,2026-01-01 22:50:11.511144,
31,869,760,103,Interview,2025-12-21 22:50:11.499295,2026-01-04 22:50:11.511147,
32,695,88,101,Interview,2026-01-25 22:50:11.499298,2026-01-15 22:50:11.511150,
33,354,710,104,Rejected,2025-10-08 22:50:11.499301,2026-01-20 22:50:11.511153,
34,144,114,104,Shortlisted,2025-12-05 22:50:11.499304,2026-01-18 22:50:11.511156,
35,67,441,104,Interview,2025-12-07 22:50:11.499306,2026-01-06 22:50:11.511159,
36,170,557,101,Interview,2025-12-25 22:50:11.499309,2026-01-26 22:50:11.511162,
37,823,500,102,Selected,2026-01-03 22:50:11.499312,2026-01-05 22:50:11.511164,
38,714,247,103,Applied,2026-01-25 22:50:11.499315,2026-01-19 22:50:11.511167,
39,250,36,103,Rejected,2025-11-03 22:50:11.499317,2026-01-14 22:50:11.511170,
40,872,802,103,Rejected,2025-12-06 22:50:11.499320,2026-01-16 22:50:11.511173,
41,99,759,102,Rejected,2025-10-30 22:50:11.499323,2026-01-13 22:50:11.511176,2026-01-25 22:50:11.522824
42,446,134,103,Rejected,2025-12-08 22:50:11.499326,2025-12-31 22:50:11.511179,2026-01-19 22:50:11.522828
43,613,237,103,Selected,2025-11-05 22:50:11.499329,2026-01-26 22:50:11.511182,
44,279,877,103,Shortlisted,2025-12-07 22:50:11.499331,2026-01-07 22:50:11.511184,
45,909,708,103,Interview,2025-10-23 22:50:11.499334,2026-01-10 22:50:11.511187,
46,327,363,102,Selected,2025-11-12 22:50:11.499337,2026-01-09 22:50:11.511190,
47,304,98,102,Shortlisted,2025-12-01 22:50:11.499340,2026-01-05 22:50:11.511193,
48,730,867,101,Interview,2025-12-02 22:50:11.499342,2026-01-19 22:50:11.511196,
49,8,305,101,Selected,2025-11-16 22:50:11.499345,2025-12-31 22:50:11.511200,
50,487,126,103,Interview,2025-10-12 22:50:11.499348,2026-01-06 22:50:11.511203,
51,855,949,101,Selected,2026-01-13 22:50:11.499351,2026-01-23 22:50:11.511206,
52,241,291,103,Selected,2025-12-14 22:50:11.499353,2026-01-25 22:50:11.511209,
53,169,35,102,Rejected,2025-11-08 22:50:11.499363,2026-01-21 22:50:11.511212,
54,317,770,102,Interview,2026-01-17 22:50:11.499367,2025-12-31 22:50:11.511215,
55,286,402,103,Interview,2025-10-26 22:50:11.499370,2026-01-27 22:50:11.511218,
56,962,488,103,Interview,2025-11-07 22:50:11.499372,2026-01-14 22:50:11.511221,
57,122,544,104,Shortlisted,2025-10-24 22:50:11.499376,2026-01-23 22:50:11.511224,2026-01-23 22:50:11.522834
58,822,776,104,Selected,2025-11-27 22:50:11.499379,2026-01-28 22:50:11.511227,
59,524,735,104,Applied,2025-10-31 22:50:11.499382,2026-01-08 22:50:11.511230,
60,830,686,104,Selected,2025-11-26 22:50:11.499384,2026-01-27 22:50:11.511233,
61,815,866,103,Rejected,2026-01-04 22:50:11.499387,2026-01-19 22:50:11.511236,
62,333,791,103,Shortlisted,2025-10-15 22:50:11.499390,2026-01-27 22:50:11.511239,
63,824,344,103,Applied,2025-10-06 22:50:11.499393,2026-01-15 22:50:11.511242,
64,420,396,103,Selected,2025-11-01 22:50:11.499395,2026-01-24 22:50:11.511245,
65,695,133,104,Selected,2025-10-23 22:50:11.499398,2026-01-15 22:50:11.511248,
66,917,311,104,Selected,2026-01-14 22:50:11.499402,2026-01-01 22:50:11.511252,
67,349,406,102,Interview,2025-10-15 22:50:11.499405,2026-01-18 22:50:11.511255,
68,40,255,103,Rejected,2025-12-25 22:50:11.499408,2025-12-31 22:50:11.511258,
69,590,821,103,Rejected,2026-01-07 22:50:11.499411,2026-01-13 22:50:11.511261,2026-01-23 22:50:11.522841
70,867,662,104,Shortlisted,2025-12-24 22:50:11.499413,2026-01-13 22:50:11.511263,
71,928,583,102,Selected,2026-01-26 22:50:11.499416,2026-01-14 22:50:11.511266,
