comment_id,user_id,content_name,content_id,comment_text,created_at,updated_at,deleted_at
1,524,Job,3810,Very informative.,2026-01-23 22:52:15.050990,2026-01-24 22:52:15.062371,
2,668,Event,4664,Great update!,2026-01-05 22:52:15.051013,2026-01-10 22:52:15.062378,
3,352,Department,2180,Very informative.,2026-01-28 22:52:15.051022,2026-01-13 22:52:15.062382,
4,9,Department,822,Very informative.,2025-08-05 22:52:15.051025,2025-12-30 22:52:15.062384,
5,852,Job,1999,Looking forward to this.,2025-08-31 22:52:15.051028,2025-12-30 22:52:15.062387,
6,882,Announcement,3541,Good opportunity for students.,2025-11-17 22:52:15.051031,2026-01-02 22:52:15.062390,
7,262,Department,129,This is helpful.,2026-01-01 22:52:15.051034,2025-12-31 22:52:15.062392,
8,415,Post,1631,This is helpful.,2025-11-04 22:52:15.051037,2026-01-22 22:52:15.062395,
9,280,Event,1456,This is helpful.,2025-12-12 22:52:15.051039,2025-12-31 22:52:15.062397,
10,77,Job,3146,Thanks for sharing.,2026-01-11 22:52:15.051041,2026-01-16 22:52:15.062400,2026-01-19 22:52:15.071518
11,847,Job,1658,Thanks for sharing.,2026-01-10 22:52:15.051044,2026-01-26 22:52:15.062402,
12,930,Post,2511,Great update!,2025-09-06 22:52:15.051046,2026-01-15 22:52:15.062404,
13,331,Department,4848,Good opportunity for students.,2025-10-23 22:52:15.051049,2026-01-14 22:52:15.062407,2026-01-24 22:52:15.071523
14,358,Announcement,1235,Looking forward to this.,2025-10-20 22:52:15.051051,2026-01-07 22:52:15.062409,
15,515,Announcement,442,Thanks for sharing.,2025-10-27 22:52:15.051054,2026-01-20 22:52:15.062411,
16,835,Post,3679,This is helpful.,2025-08-29 22:52:15.051056,2026-01-26 22:52:15.062413,
17,505,Announcement,229,Nice initiative.,2026-01-02 22:52:15.051058,2026-01-29 22:52:15.062416,
18,177,Event,3428,Very informative.,2025-12-16 22:52:15.051060,2026-01-27 22:52:15.062419,
19,240,Job,1401,Great update!,2025-09-13 22:52:15.051063,2026-01-20 22:52:15.062422,
20,211,Post,4851,Thanks for sharing.,2025-12-05 22:52:15.051066,2026-01-11 22:52:15.062424,
21,601,Department,4552,Thanks for sharing.,2025-12-16 22:52:15.051068,2026-01-29 22:52:15.062426,
22,525,Job,331,Great update!,2026-01-15 22:52:15.051071,2026-01-14 22:52:15.062429,
23,25,Event,3316,Great update!,2025-10-15 22:52:15.051073,2026-01-29 22:52:15.062431,
24,135,Post,3204,Very informative.,2025-12-24 22:52:15.051076,2026-01-16 22:52:15.062433,
25,870,Post,3767,Nice initiative.,2025-09-11 22:52:15.051078,2026-01-11 22:52:15.062435,
26,849,Post,3845,Thanks for sharing.,2025-09-17 22:52:15.051081,2026-01-14 22:52:15.062438,
27,844,Department,3305,Great update!,2025-10-31 22:52:15.051083,2026-01-18 22:52:15.062440,
28,140,Announcement,488,Thanks for sharing.,2025-10-01 22:52:15.051086,2026-01-12 22:52:15.062443,
29,816,Post,233,Looking forward to this.,2025-08-10 22:52:15.051089,2026-01-29 22:52:15.062445,
30,356,Department,4371,This is helpful.,2025-10-04 22:52:15.051091,2025-12-30 22:52:15.062447,
31,665,Event,698,Good opportunity for students.,2025-08-12 22:52:15.051094,2026-01-24 22:52:15.062449,
32,20,Event,857,Very informative.,2026-01-25 22:52:15.051096,2026-01-12 22:52:15.062451,
33,438,Event,3864,Thanks for sharing.,2025-09-03 22:52:15.051098,2026-01-28 22:52:15.062454,
34,474,Event,3268,Looking forward to this.,2025-08-28 22:52:15.051101,2026-01-07 22:52:15.062457,
35,509,Post,2640,Nice initiative.,2026-01-07 22:52:15.051103,2025-12-31 22:52:15.062459,
36,833,Department,1161,Good opportunity for students.,2025-08-21 22:52:15.051105,2026-01-20 22:52:15.062462,
37,612,Post,1004,Looking forward to this.,2026-01-13 22:52:15.051108,2026-01-02 22:52:15.062464,
38,418,Job,2732,Good opportunity for students.,2025-10-24 22:52:15.051115,2026-01-28 22:52:15.062466,
39,419,Department,812,Looking forward to this.,2025-10-16 22:52:15.051118,2026-01-26 22:52:15.062468,
40,410,Announcement,4566,Good opportunity for students.,2025-09-10 22:52:15.051120,2026-01-29 22:52:15.062471,
41,568,Announcement,746,Looking forward to this.,2025-09-04 22:52:15.051122,2026-01-25 22:52:15.062473,
42,987,Department,24,Looking forward to this.,2025-08-26 22:52:15.051125,2026-01-14 22:52:15.062475,
43,90,Event,2018,Looking forward to this.,2025-11-09 22:52:15.051128,2026-01-11 22:52:15.062478,
44,502,Event,1236,Nice initiative.,2025-10-22 22:52:15.051131,2026-01-05 22:52:15.062480,
45,8,Post,1964,Looking forward to this.,2025-10-02 22:52:15.051133,2026-01-17 22:52:15.062482,
46,154,Job,724,Good opportunity for students.,2025-09-03 22:52:15.051135,2026-01-27 22:52:15.062484,
47,874,Job,2410,Very informative.,2026-01-13 22:52:15.051138,2026-01-15 22:52:15.062487,
48,670,Event,101,This is helpful.,2026-01-09 22:52:15.051140,2026-01-20 22:52:15.062489,
49,449,Announcement,2919,Thanks for sharing.,2025-12-30 22:52:15.051142,2026-01-08 22:52:15.062491,
50,853,Job,1324,Good opportunity for students.,2026-01-22 22:52:15.051144,2026-01-04 22:52:15.062493,
51,302,Event,395,Very informative.,2025-08-19 22:52:15.051147,2026-01-21 22:52:15.062495,
52,465,Announcement,4722,Great update!,2025-12-01 22:52:15.051149,2026-01-27 22:52:15.062498,
53,774,Event,969,Looking forward to this.,2025-12-22 22:52:15.051151,2025-12-31 22:52:15.062500,2026-01-23 22:52:15.071533
54,733,Announcement,2794,Nice initiative.,2025-12-07 22:52:15.051154,2026-01-25 22:52:15.062502,
55,138,Event,2246,Good opportunity for students.,2025-09-13 22:52:15.051157,2026-01-13 22:52:15.062505,
56,647,Department,3762,Great update!,2025-12-28 22:52:15.051159,2025-12-31 22:52:15.062507,
57,977,Announcement,2141,This is helpful.,2026-01-01 22:52:15.051161,2026-01-17 22:52:15.062509,2026-01-26 22:52:15.071538
58,756,Event,585,This is helpful.,2025-09-24 22:52:15.051164,2026-01-15 22:52:15.062511,
59,476,Post,968,Thanks for sharing.,2025-12-30 22:52:15.051166,2025-12-30 22:52:15.062514,
60,100,Post,3033,Good opportunity for students.,2025-11-19 22:52:15.051169,2025-12-31 22:52:15.062516,
61,762,Post,2374,Thanks for sharing.,2026-01-14 22:52:15.051172,2026-01-27 22:52:15.062518,
62,859,Job,2490,Great update!,2025-12-04 22:52:15.051174,2026-01-28 22:52:15.062520,
63,393,Post,3375,Looking forward to this.,2025-11-13 22:52:15.051176,2026-01-19 22:52:15.062523,
64,861,Post,2829,This is helpful.,2026-01-01 22:52:15.051179,2026-01-04 22:52:15.062525,
65,32,Job,3607,Good opportunity for students.,2025-08-04 22:52:15.051181,2026-01-21 22:52:15.062527,
66,168,Announcement,285,Looking forward to this.,2025-12-20 22:52:15.051185,2026-01-11 22:52:15.062531,
67,96,Department,4008,Thanks for sharing.,2025-09-17 22:52:15.051187,2026-01-21 22:52:15.062533,
