user_id,job_id,college_id,job_name,job_type,company_name,job_location,salary,created_at,updated_at,job_status
244,1,101,Software Engineer,Full-time,ALLSTATE,Remote,₹ 6 LPA,2025-11-24 15:57:41.197080,2026-01-26 15:57:41.205445,Expired
1,2,104,Gen-AI Engineer,Part-time,GOOGLE,Remote,"₹ 15,000",2025-12-29 15:57:41.197138,2026-01-14 15:57:41.205459,Closed
481,3,103,Gen-AI Engineer,Full-time,GOOGLE,Mumbai,₹ 10 LPA,2025-12-25 15:57:41.197165,2026-01-07 15:57:41.205469,Open
26,4,103,Gen-AI Engineer,Internship,INFOSYS,Chennai,"₹ 15,000",2025-10-10 15:57:41.197176,2026-01-22 15:57:41.205476,Expired
136,5,102,Backend Developer,Part-time,TCS,Pune,₹ 6 LPA,2025-12-07 15:57:41.197184,2026-01-25 15:57:41.205483,Expired
357,6,102,Backend Developer,Full-time,LTMINDTREE,Mumbai,"₹ 25,000",2025-11-01 15:57:41.197193,2026-01-20 15:57:41.205491,Closed
276,7,102,Machine Learning Engineer,Internship,ACCENTURE,Chennai,₹ 6 LPA,2026-01-19 15:57:41.197200,2026-01-02 15:57:41.205498,Closed
405,8,103,AI Engineer,Part-time,LTMINDTREE,Mumbai,"₹ 25,000",2025-11-08 15:57:41.197207,2026-01-12 15:57:41.205505,Expired
211,9,103,Software Engineer,Part-time,TCS,Remote,₹ 6 LPA,2025-11-24 15:57:41.197214,2026-01-10 15:57:41.205512,Open
127,10,101,Backend Developer,Full-time,UBS,Mumbai,₹ 12 LPA,2026-01-02 15:57:41.197222,2026-01-12 15:57:41.205520,Expired
143,11,103,Machine Learning Engineer,Internship,ONEGO,Chennai,"₹ 15,000",2025-11-25 15:57:41.197229,2026-01-08 15:57:41.205526,Expired
165,12,104,UX Design Internship,Full-time,UBS,Remote,₹ 10 LPA,2025-12-11 15:57:41.197253,2026-01-11 15:57:41.205534,Closed
322,13,102,Machine Learning Engineer,Internship,ALLSTATE,Hyderabad,"₹ 25,000",2025-10-14 15:57:41.197261,2026-01-18 15:57:41.205541,Expired
17,14,104,Data Scientist,Internship,GOOGLE,Chennai,₹ 10 LPA,2025-12-14 15:57:41.197268,2026-01-14 15:57:41.205548,Expired
136,15,104,Data Analyst,Internship,MPHASIS,Hyderabad,"₹ 15,000",2025-12-28 15:57:41.197277,2026-01-14 15:57:41.205554,Closed
373,16,101,Data Scientist,Internship,ONEGO,Hyderabad,"₹ 25,000",2025-10-14 15:57:41.197291,2026-01-08 15:57:41.205561,Expired
