post_id,user_id,college_id,content_type,post_description,media_name,created_at,updated_at
1,454,101,TEXT,Great learning experience,,2025-08-14 16:12:13.187139,2026-01-27 16:12:13.194843
2,75,104,TEXT,Placement drive updates,,2025-11-06 16:12:13.187162,2026-01-12 16:12:13.194848
3,321,101,IMAGE,Campus life moments,hackathon.jpg,2025-08-02 16:12:13.187172,2026-01-03 16:12:13.194852
4,352,104,TEXT,Placement drive updates,,2025-10-12 16:12:13.187176,2026-01-23 16:12:13.194854
5,116,102,TEXT,Cultural fest memories,hackathon.jpg,2025-10-15 16:12:13.187179,2026-01-20 16:12:13.194857
6,155,103,VIDEO,Hackathon highlights,,2025-09-07 16:12:13.187182,2026-01-18 16:12:13.194859
7,90,103,TEXT,Workshop on AI and Data Science,fest.jpg,2025-08-31 16:12:13.187184,2026-01-06 16:12:13.194862
8,401,104,TEXT,Great learning experience,placement.jpg,2025-09-08 16:12:13.187187,2026-01-06 16:12:13.194864
9,202,103,IMAGE,Placement drive updates,hackathon.jpg,2025-09-25 16:12:13.187189,2026-01-10 16:12:13.194866
10,146,101,TEXT,Great learning experience,workshop.jpg,2025-09-27 16:12:13.187192,2026-01-04 16:12:13.194869
11,268,102,IMAGE,Hackathon highlights,placement.jpg,2025-09-06 16:12:13.187194,2026-01-18 16:12:13.194871
12,477,103,IMAGE,Hackathon highlights,placement.jpg,2025-09-29 16:12:13.187196,2026-01-11 16:12:13.194874
13,248,101,VIDEO,Workshop on AI and Data Science,campus.jpg,2025-10-29 16:12:13.187199,2026-01-09 16:12:13.194876
14,471,103,VIDEO,Hackathon highlights,,2025-08-12 16:12:13.187201,2026-01-07 16:12:13.194879
15,258,101,TEXT,Cultural fest memories,workshop.jpg,2025-11-26 16:12:13.187204,2026-01-20 16:12:13.194881
16,17,101,VIDEO,Campus life moments,campus.jpg,2026-01-15 16:12:13.187206,2026-01-20 16:12:13.194883
17,342,104,TEXT,Placement drive updates,campus.jpg,2025-08-26 16:12:13.187208,2025-12-31 16:12:13.194886
18,226,102,IMAGE,Workshop on AI and Data Science,hackathon.jpg,2026-01-01 16:12:13.187211,2026-01-03 16:12:13.194888
19,325,104,TEXT,Workshop on AI and Data Science,campus.jpg,2025-12-14 16:12:13.187213,2026-01-09 16:12:13.194891
20,113,101,TEXT,Workshop on AI and Data Science,fest.jpg,2025-09-09 16:12:13.187216,2026-01-06 16:12:13.194894
21,30,103,IMAGE,Cultural fest memories,campus.jpg,2025-09-01 16:12:13.187218,2026-01-01 16:12:13.194896
22,302,101,VIDEO,Campus life moments,fest.jpg,2025-12-25 16:12:13.187220,2026-01-09 16:12:13.194899
23,1,104,IMAGE,Hackathon highlights,hackathon.jpg,2025-10-21 16:12:13.187223,2026-01-24 16:12:13.194901
24,45,104,IMAGE,Campus life moments,hackathon.jpg,2025-09-07 16:12:13.187226,2026-01-23 16:12:13.194903
25,262,104,VIDEO,Cultural fest memories,workshop.jpg,2025-10-23 16:12:13.187228,2026-01-10 16:12:13.194906
26,71,103,TEXT,Great learning experience,campus.jpg,2025-09-02 16:12:13.187231,2026-01-14 16:12:13.194908
27,7,102,VIDEO,Placement drive updates,workshop.jpg,2025-10-31 16:12:13.187234,2026-01-12 16:12:13.194911
28,199,102,VIDEO,Campus life moments,placement.jpg,2025-10-03 16:12:13.187236,2026-01-05 16:12:13.194913
29,285,104,TEXT,Placement drive updates,,2025-11-07 16:12:13.187238,2026-01-17 16:12:13.194915
30,77,102,TEXT,Cultural fest memories,workshop.jpg,2025-09-29 16:12:13.187240,2026-01-27 16:12:13.194918
31,85,103,VIDEO,Workshop on AI and Data Science,hackathon.jpg,2025-09-28 16:12:13.187243,2026-01-25 16:12:13.194920
32,374,103,IMAGE,Hackathon highlights,fest.jpg,2026-01-03 16:12:13.187245,2026-01-26 16:12:13.194922
33,371,104,VIDEO,Cultural fest memories,,2026-01-04 16:12:13.187247,2026-01-13 16:12:13.194925
34,343,104,IMAGE,Cultural fest memories,,2025-09-23 16:12:13.187250,2025-12-30 16:12:13.194927
35,16,102,VIDEO,Cultural fest memories,workshop.jpg,2025-09-13 16:12:13.187252,2025-12-31 16:12:13.194930
36,246,102,VIDEO,Hackathon highlights,placement.jpg,2026-01-08 16:12:13.187255,2026-01-27 16:12:13.194932
37,147,102,IMAGE,Placement drive updates,fest.jpg,2025-08-21 16:12:13.187258,2026-01-17 16:12:13.194934
38,202,102,IMAGE,Campus life moments,placement.jpg,2025-10-02 16:12:13.187260,2026-01-19 16:12:13.194937
39,177,104,IMAGE,Placement drive updates,campus.jpg,2025-12-03 16:12:13.187263,2026-01-15 16:12:13.194939
40,156,102,VIDEO,Campus life moments,,2025-11-15 16:12:13.187265,2026-01-16 16:12:13.194941
41,246,102,VIDEO,Hackathon highlights,campus.jpg,2025-08-14 16:12:13.187267,2026-01-26 16:12:13.194944
42,231,101,TEXT,Campus life moments,hackathon.jpg,2025-10-08 16:12:13.187270,2026-01-11 16:12:13.194946
43,170,103,TEXT,Workshop on AI and Data Science,campus.jpg,2025-09-17 16:12:13.187272,2026-01-11 16:12:13.194949
44,78,102,IMAGE,Great learning experience,placement.jpg,2025-08-05 16:12:13.187280,2026-01-26 16:12:13.194951
45,274,102,TEXT,Workshop on AI and Data Science,,2026-01-07 16:12:13.187283,2026-01-10 16:12:13.194953
46,435,101,VIDEO,Cultural fest memories,fest.jpg,2025-11-21 16:12:13.187285,2026-01-24 16:12:13.194956
47,392,101,IMAGE,Great learning experience,fest.jpg,2025-09-07 16:12:13.187288,2026-01-28 16:12:13.194958
